ID,Answer
10023321,3
10076124,4
10292442,3
10450610,4
10466910,3
10498495,1
10598939,3
10657631,4
10697984,2
10755199,2
10893831,3
10899468,3
11029747,2
11115650,3
11171068,1
11264504,3
11300704,4
11321456,2
11348435,1
11368101,1
11423982,3
11516995,4
11556898,2
11693578,4
11753162,1
11813456,3
11838237,1
11891863,2
12099579,2
12102484,4
12150342,2
12246676,4
12445203,2
12698762,1
12884075,1
12926965,1
13007916,4
13112037,2
13154559,2
13258450,2
13355897,2
13609500,3
13610809,2
13691360,1
13763772,4
13766210,1
13984831,1
14239854,1
14280563,4
14369409,2
14396639,4
14492855,4
14571007,1
14709051,1
14814753,1
14908693,2
15117062,3
15168293,3
15192355,2
15227387,4
15398662,3
15912226,4
15951075,3
16193830,2
16204497,1
16362129,3
16407193,4
16457852,4
16518476,4
16546810,2
16549356,2
16703406,4
16898108,4
16909153,4
16910649,1
16983731,1
17019434,2
17329587,3
17471896,4
17724480,3
17873549,4
18128262,4
18178799,1
18257409,3
18397693,2
18492824,2
18515874,1
18741469,3
18779447,4
18989913,3
19038866,3
19212462,3
19220703,2
19277838,2
19303177,1
19445297,3
19463064,1
19576366,3
19584616,2
19662077,4
19675519,1
19714653,3
19720602,1
19827337,4
19953743,1
19954659,1
20073793,3
20094174,4
20142679,3
20212100,2
20336490,3
20513965,4
20583494,4
20593833,2
20625301,2
20634540,3
20720072,2
20736627,2
20929290,2
21016444,2
21106935,4
21189878,4
21226453,4
21336728,1
21351331,4
21369991,1
21561344,1
21577123,1
21743020,4
21763747,1
21778173,1
21820433,4
21931231,4
22016589,2
22100377,2
22101890,2
22229083,4
22367603,2
22386247,4
22507162,4
22758996,2
22988063,4
23009422,1
23064985,4
23094030,3
23120095,3
23185450,4
23333701,4
23352935,2
23378299,1
23522594,1
23608299,4
23817944,2
23930613,4
24143628,1
24263046,3
24355799,1
24365031,3
24435016,4
24449680,2
24542374,1
24610726,4
24649708,3
24676882,4
24884065,2
24910497,4
24972835,1
25019784,1
25082737,2
25199776,4
25264183,3
25344713,4
25498596,4
25543707,4
25556764,4
25571050,1
25641937,4
25697929,2
25748090,1
25771114,3
25780278,3
25792979,3
25820129,3
25836968,2
25892380,3
26027353,4
26157663,2
26186497,2
26210726,4
26227064,3
26330504,2
26381972,1
26460032,3
26533393,1
26535956,2
26607564,4
26647314,4
26656486,1
26724971,3
26921201,4
26936231,3
